precio_total,margen,codigo_modelo_codificado,total_ventas
"18383,9","0,12300000183284282",43N61R2A101Z47O31K71T13H10C43N,268
"22993,39","0,12300000183284282",37L43N83W41M47O31K53P,268
"20972,37","0,12300000183284282",43N79V23I13G47O31K59Q41M89X47O,262
"26737,77","0,14759999670088292",73U41M47O17G47O31K59Q,262
"19009,92","0,12300000183284282",37L31K43N79V47O31K89X,254
"24769,58","0,14759999670088292",59Q41M31K61R47O31K71T17G10C43N,254
"26161,23","0,14759999670088292",59Q10C71T3B47O31K71T41M89X47O,252
"31662,81","0,12300000183284282",43N53P10C17G47O31K17B10C41M37L,250
"26041,95","0,14759999670088292",59Q41M31K61R47O31K73U17G10C43N,246
"30157,26","0,14759999670088292",73U17B19H89X47O31K103A41M10C43N,240
"26340,16","0,14759999670088292",73U17B19H37L47O31K13H,240
"23704,13","0,12300000183284282",37L59Q61R61R47O31K73U,238
"29238,77","0,14759999670088292",59Q17B89X13F47O31K47O17G10C43N,232
"23811,33","0,14759999670088292",89X43N17G43N47O31K13H41M89X47O,232
"27592,64","0,12300000183284282",43N53P17B19H47O37L31K,230
"28286,78","0,024599999450147153",43N89X11E71T47O31K37L,228
"20698,01","0,12300000183284282",37L31K71T17B47O31K59Q7D10C43N,228
"28010,14","0,14759999670088292",73U71T89X13F47O31K83W,228
"25544,93","0,14759999670088292",73U41M61R11E47O31K71T41M10C43N,228
"30154,55","0,09839999780058861",43N89X11E71T47O31K61R,226
"15402,48","0,11070000439882278",43N31K43N13F47O37L59Q,226
"28204,97","0,14759999670088292",73U79V7D10C47O31K59Q41M89X47O,226
"27568,79","0,14759999670088292",73U79V7D47O47O31K43N41M89X47O,222
"20717,89","0,12300000183284282",43N61R2A17B47O31K61R13H10C43N,218
"14204,13","0,11070000439882278",43N59Q19H11D47O31K17B,218
"26896,82","0,14759999670088292",73U17B19H83W47O31K11E,218
"22315,71","0,12300000183284282",37L43N83W41M47O37L13G,216
"27109,09","0,12300000183284282",37L43N89X59Q47O37L53P,216
"15567,77","0,11070000439882278",43N31K43N13F47O31K19H,212
"13212,4","0,11070000439882278",43N83W29J31K47O37L59Q5C10C43N,212
"28596,69","0,12300000183284282",37L43N89X59Q47O37L43N,212
"32204,97","0,14759999670088292",59Q17B53P17G47O31K43N41M89X47O,212
"14786,78","0,11070000439882278",43N71T7D11D47O37L103A41M89X47O,208
"25621,49","0,12300000183284282",37L43N83W71T47O31K89X,208
"19779,52","0,12300000183284282",43N79V23I13G47O31K53P13H10C43N,208
"29540,95","0,12300000183284282",43N59Q37L41M47O31K10C10C41M37L,206
"22514,05","0,12300000183284282",37L31K47O17B47O31K59Q7D10C43N,206
"27115,51","0,12300000183284282",43N59Q79V5C47O37L47O71T31K89X,206
"14121,49","0,11070000439882278",43N71T7D11D47O31K17G,204
"20853,08","0,14759999670088292",73U37L23I83W47O31K43N,204
"31334,19","0,14759999670088292",73U37L29J31K47O31K89X41M10C43N,202
"25067,79","0,14759999670088292",89X43N3B101Z47O31K11D83W10C43N,202
"17164,02","0,12300000183284282",43N47O101Z10C47O31K10C41M101Z47O,200
"26876,94","0,14759999670088292",59Q41M13F101Z47O31K79V,200
"28964,41","0,14759999670088292",73U17B19H37L47O31K101Z41M10C43N,200
"30304,37","0,14759999670088292",89X53P19H41M47O37L59Q83W10C43N,196
"26876,94","0,14759999670088292",59Q41M11D79V47O31K61R,196
"21525,05","0,14759999670088292",73U79V7D37L47O31K73U41M89X47O,194
"34312,33","0,14759999670088292",73U43N11E31K47O31K59Q41M89X47O,192
"26695,87","0,12300000183284282",37L43N89X53P47O37L41M,188
"23147,32","0,12300000183284282",37L43N83W43N47O31K61R,186
"26447,51","0,14759999670088292",89X53P19H37L47O31K13H83W10C43N,186
"30828,11","0,14759999670088292",73U71T101Z17G47O31K5C,186
"15319,83","0,11070000439882278",43N59Q19H11D47O31K83W5C10C43N,184
"21604,96","0,12300000183284282",37L31K71T11D47O31K83W7D10C43N,184
"25783,5","0,14759999670088292",73U17B19H37L47O31K13G,184
"20662,81","0,12300000183284282",37L31K47O17B47O31K31K7D10C43N,182
"22761,63","0,14759999670088292",89X31K17G13G47O31K73U83W10C43N,180
"26695,87","0,12300000183284282",37L43N83W73U47O37L89X,178
"31039,96","0,14759999670088292",73U53P3B83W47O31K53P41M10C43N,178
"25405,77","0,12300000183284282",43N59Q31K83W47O31K103A10C41M37L,172
"20161,23","0,12300000183284282",43N61R2A101Z47O31K59Q13H10C43N,170
"28286,78","0,024599999450147153",43N89X11E71T47O31K41M,166
"17429,62","0,12300000183284282",43N47O13F89X47O31K83W,164
"26181,11","0,14759999670088292",89X43N3B17B47O31K37L83W10C43N,164
"29009,92","0,12300000183284282",37L43N83W73U47O31K101Z,162
"25604,57","0,14759999670088292",59Q41M13F101Z47O31K61R,162
"27055,86","0,14759999670088292",73U41M47O17G47O31K59Q41M10C43N,160
"33338,17","0,14759999670088292",73U41M47O19H47O31K53P41M10C43N,160
"18084,3","0,12300000183284282",43N61R11E41M47O31K41M13H10C43N,158
"29126,39","0,14759999670088292",73U79V7D79V47O31K73U41M89X47O,156
"27334,19","0,14759999670088292",73U17B19H31K47O31K13G41M10C43N,156
"22761,63","0,14759999670088292",89X43N3B89X47O31K41M83W10C43N,156
"12551,24","0,11070000439882278",43N59Q19H10C47O31K7D,154
"19410,74","0,12300000183284282",43N61R11E41M47O31K71T13H10C43N,154
"27632,41","0,12300000183284282",43N59Q31K89X47O31K53P10C41M37L,152
"25208,26","0,12300000183284282",37L43N89X59Q47O37L11E,150
"31311,57","0,09839999780058861",43N89X11E71T47O31K59Q,150
"31311,57","0,09839999780058861",43N89X11E71T47O31K71T,150
"28272,56","0,14759999670088292",73U37L23I13G47O31K11D41M10C43N,150
"29348,76","0,12300000183284282",43N53P10C11E47O31K103A10C41M37L,146
"30175,21","0,12300000183284282",43N53P10C17G47O31K103A10C41M37L,146
